player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,2328,1140,-2.442458528096775,.6059675331768422,-1.836490994919933,1.583853982185798,-3.756531687972737,-2.17267770578694,-1.771179809557317,-.2836726083018088,-2.054852417859126,.400487528610578,.400487528610578,0,-1.867986322660697,-.1828059356499957,-2.050792258310692,-.9560648307826403
Steven Adams,adamsst01,2023,2391,1133,-.539148558923302,4.174472679092362,3.635324120169059,4.196019485073553,.1861585744365747,4.382178059510127,.4162789084115726,3.550985038062151,3.967263946473722,3.892111051822682,3.892111051822682,0,.0250967973857724,3.570023674338324,3.595120471724096,.2379053556444963
Bam Adebayo,adebaba01,2023,6933,3448,-1.9055677850246,2.343397523543153,.437829738518553,1.584151167502922,2.634869210633942,4.219020378136865,-1.279139764125371,2.528053481995153,1.248913717869781,7.035147701937242,5.69216367939698,1.342984022540262,-.8093236246291524,2.539525563827095,1.730201939197943,-.4437890652339468
Ochai Agbaji,agbajoc01,2023,2604,1209,-1.323937715486985,-2.198396043023918,-3.522333758510904,.6377934140062106,-.5693488205765791,.0684445934296315,-1.010695667159285,-1.964926572444464,-2.975622239603749,-.1394690977815589,-.1394690977815589,0,-1.145864959566785,-2.506387133355247,-3.652252092922032,.2162159216894602
Santi Aldama,aldamsa01,2023,3824,1783,-1.02269858163631,-.4074620658456974,-1.430160647482008,-.1691962575699918,-1.337526726253008,-1.506722983823,-.9070950302162486,-.6754868565774458,-1.582581886793694,1.058654626167782,1.15952029227029,-.1008656661025077,-1.245487482425662,-.1654749542206584,-1.41096243664632,-.035689739696845
Nickeil Alexander-Walker,alexani01,2023,2185,1032,-.0588653358935318,4.097519420914918,4.038654085021387,-1.212303738993489,2.272451262429867,1.060147523436378,-.3038303313989556,3.986873711543973,3.683043380145017,3.479913652453206,2.416557418022191,1.063356234431015,-.0875373854217921,3.351663189457166,3.264125804035375,.4400434539367236
Grayson Allen,allengr01,2023,4534,2121,-.0445991604717838,.2383331244090803,.1937339639372965,.5240245034218119,-.5100395990479905,.0139849043738215,.0710878012439703,.050969702469415,.1220575037133854,3.127174324497974,2.880050069367837,.2471242551301367,.2693443812900002,-.0303723564952866,.2389720247947135,.3817913596483166
Jarrett Allen,allenja01,2023,4833,2411,-1.334080445289199,1.627077730821985,.2929972855327858,3.307167416544363,1.658584771375301,4.965752187919663,-.4542169763121832,1.668787167403525,1.214570191091342,4.856336854243171,4.528900772407242,.3274360818359288,-.348734965813534,2.270492231560405,1.921757265746871,-.5728681850467734
Jose Alvarado,alvarjo01,2023,2778,1310,.0392583473452232,1.396093694805929,1.435352042151152,-.6771845507453484,3.379530873399319,2.70234632265397,-.1035658465671855,1.865416283725903,1.761850437158718,3.025179268538321,3.025179268538321,0,-.424834786054889,1.927231590806239,1.502396804751349,.322323360944499
Kyle Anderson,anderky01,2023,4359,2061,-.0739591287842121,1.255403300580393,1.181444171796181,1.531263361383484,.4194800406763187,1.950743402059803,.2715341912376761,1.14860695784535,1.420141149083026,4.358710264423239,4.395997186862573,-.0372869224393335,-.4137670865660245,1.304951349174734,.8911842626087102,-.2990855260105891
